term,definition,strand
"In the scientific method, after thorough testing (usually decades), an idea moves from guesswork to",Theory,
"In the 1960s, Stanley Milgram used an infamous experiment with simulated shocks to test",obedience,
Using rewards to incrementally build a simple behavior into a complex behavior,Shaping,
A mental predisposition to notice one aspect of a stimulus and ignore others,Confirmation bias,
Personality disorder where an individual lacks empathy or knowledge of wrongdoing,Antisocial,
A technique where one individual is closely studied in an attempt to demonstrate a principle,Case Study,
Nervous system cells that support neurons,Glial cells,
A projective personality test where the patient is shown an image and asked to make up a story about it,Thematic Apperception Test,
The smallest unit of speech which expresses meaning,Morpheme,
To perform a behavior in hopes of an award,Extrinsic motivation,
A defense mechanism that purposely ignores conscious thoughts of anxiety (e.g. denial),Repression,
Genes are made up of this complex molecule,DNA,
Photoreceptors include rods and,cones,
"The five taste sensations include sweet, salty, bitter, sour and (and maybe oleogustus??)",umami,
A strict behaviorist (e.g. Skinner) would reject attempts to look inside,the black box,
To what degree can experimental results be applied more broadly,Generalizability,
A numerical measure of correlation between -1 and +1,Correlation coefficient,
Average distance between data points in a data set and the mean of the data set,Standard deviation,
"The endocrine system's most influential gland, releases hormones and regulates other endocrine glands",Pituitary,
"The four lobes of the forebrain are occipital, temporal, frontal and",parietal,
Central switching mechanism for sensory information,Thalamus,
"Even though all parts of the brain do everything, some parts are more specialized",localization,
Part of the brain which manages the autonomic features of the fight or flight response,Hypothalamus,
A phenomenon where individuals are less likely to help victims if other onlookers are present,Bystander effect,
After repeated pairing with the UCS the neutral similus changes to the,Conditioned stimulus,
"Disorders in which current consciousness becomes separated from previous memories, thoughts, and feelings.",Dissociative,
A complete set of DNA/Chromosomes/genes for a person,Genome,
Structure behind pupil which changes shape to focus images on the retina,Lens,
"The stage of sleep in which most dreaming occurs, especially storylike dreaming",REM,
The prominent sex hormone in males,Testosterone,
The final stage in the stress response cycle,exhaustion,
Portion of the cerebral cortex lying roughly above the ears; includes the auditory areas,Temporal Lobes,
"Sense of body position and movement, including the sense of balance",Vestibular Sense,
An eating disorder characterized by alternating between periods of binge eating and fasting,Bulimia,
A defense mechanism characterized by shifting aggressive impulses toward a more acceptable target,Displacement,
A defense mechanism characterized by shifting aggressive impulses toward a more acceptable target,Experiment,
The extent to which a test yields consistent results,Reliability,
"The formal, scientific word for the sense of hearing",Audition,
Connects the hemispheres of the brain,Corpus Callosum,
"The inability of a young child to see another person’s point of view,",egocentrism,
A condition where one struggles to get enough sleep or to fall asleep,insomnia,
The middle number in a data set.  Half of the points fall above or below regardless of skew,Median,
The debate between the influence of hereditary and environmental factors on development,nature-nurture,
The quality of sound where one can determine “high” and “low” sounds,Tone,
a small gap at the end of a neuron that allows a signal to pass from one neuron to the next,Synapse,
"Walking and chewing are ________, but voluntary processes",nonconscious,
__________ personality disorder cannot take criticism and believes they are the best at everything,narcissistic,
"Studies physical, cognitive, and social change throughout a person's life",Developmental Psychology,
"The idea that mental ability can be reduced to one, simple metric.  IQ is an example",General Intelligence,
A healthy relationship between toddler and parent,secure attachment,
Learning that is not apparent until there is an opportunity or incentive to demonstrate it,Latent Learning,
"In language, the smallest unit that carries meaning (ex: prefix)",Syntax,
Unexpected and repeated episodes of fear,Panic Disorder,
