Term,Definition
operationalize,"The ""shock yourself because you're bored"" test claimed that a self-administered schock was a way to _______ boredom"
Alpha Waves,What are the waves that show the brain is in an awake state?
Bottom-Up Processing,Processing that starts at the sensory receptors and assembles such stimuli into more complex phenomena
Equity,"""Treat equal cases equally but different cases appropriately differently."" Not equality but"
General Adaptation Syndrome,"The concept of the body responding in 3 states: alarm, resistance, and exhaustion"
interpersonal,"To be a true language, a communication system must be creative, follow rules and be"
Opponent-Process Theory,The idea that cells in the visual system process colors in complementary pairs
Cognitive Map,A mental representation of the layout of one's physical environment
deindividuation,"When you become ""anonymous"" in a group setting.  Often seen in riots"
Meta-analysis,A procedure for statistically combining the results of monay different research studies.
superordinate goals,"When two groups set aside differences and work together for a higher, collective purpose."
social traps,When you make a (often false) choice to help yourself and hurt the group
split authority,"In Milgrams shock test, the most powerful variable reducing obedience"
demand characteristics,"In the Stanford prison experiment, one criticism (besides ethics!) was that the guards were responding to"
integrity v despair,"In Erikson’s theory, the stage where we're focused on looking back on our lives and considering our value"
traumatic childhood experience,Study after study has confirmed Freud was at least partly correct.  ______ does correlate with later disorder
associate,"Patterns of play go: solitary, parallel, __________, cooperative"
authoritarian,"Parenting styles include permissive, authoritative and ___________"
secure,"The ""healthy"" attachment style"
ecological systems theory,"This theory emphasizes the micro, meso and exosphere of social development"
