Term,Definition
A feeling of unease when you don't feel prepared to deal with a situation,Stress
"In men, these glands are primarily responsible for testosterone production",testicles
"Among women, ovaries are primary responsible for producing this ""female hormone""",estrogen
"The ""love"" (not sex) hormone",oxytocin
"""Downstream"" extension of a nerve cell, which connects to other nerves/neurons",Dendrite
This slow nervous system uses hormones to regulate physiological processes,Endocrine System
A belief that people will get what they deserve,Just-world Phenomenon
Region of the forebrain where we do the majority of our visual processing,Occipital Lobe
When you hang out with like-minded people your opinion will become more extreme,Polarization
"The Freudian division of the brain, largely unconscious, that makes you feel guilty when you cheat",Superego
A humanist term.  Value people regardless of their statements or behaviors. ,Unconditional Positive Regard
Mood disorder when a person alternates between the state of depression and the state of mania.,Bipolar Disorder
Body becomes used to a drug and has withdrawal symptoms if the drug isn't taken.,Dependence
"When analyzing others' behavior, we underestimate the situation and to overestimate personality.",Fundamental Attribution Error
The minimum difference in simulus intensity that a person can detect 50 percent of the time.,Just Noticeable Difference
The phenomenon that repeated exposure to novel stimuli increases liking of them.,Mere Exposure Effect
"Personality is based on the ineraction between environment, behaviors, and perceptions of one's own behaviors",Reciprocal Determinism
"The human tendency to focus on one part of a stimulus and ""tune out"" others",Selective Attention
Technique for ascertaining the self-reported attitudes by questioning a representative.,Survey
Unlearned natural reaction to a non-conditioned stimulus.,Unconditional Response
The period after puberty during which a young person develops from a child to an adult,Adolescence
A mind-body technique that involves visual or auditory responses to gain control over involuntary bodily functions,Biofeedback
Bizarre beliefs that are categorically false.  E.g. I believe Sarah Michelle Gellar is secretly in love with me.,Delusions
"Initial tagging of incoming information, the second stage in the memory process",Encoding
"Uncontrollable, undesired repetitive behaviors and thoughts",Obsessive-compulsive disorder
The brain's ability to physically change and adapt to circumstances,Plasticity
A defense mechanism in which a person goes beyond denial and behaves in the opposite way of how they feel,Reaction formation
A pattern of thought or behavior that organizes categories of information an the relationships among them,Schema
Another defense mechanism.  Socially unacceptable impulses are transformed into socially acceptable actions,Sublimation
"From 18-24 months, where kids first utilize multiple words at the same time when talking",Two-word stage
A gland that produces hormones that control heart rate and blood pressure,Adrenal gland
Therapy with the goal of changing patterns of thinking.,Cognitive behavioral therapy
The collection of glands that produce hormones,Endocrine system
The mental ability to think divergently and to learn new things.  Declines more rapidly as you age,Fluid Intelligence
conducts impulses away from the neuron’s cell body,Axon
The process of changing beliefs and behaviors reduce cognitive dissoance,minimal sufficiency
Neurotransmitter most commonly associated with rewards,dopamine
"Pain is mitigated in the spine by pain receptors and ""anti-pain"" receptors.  This is called",gate control theory
"A method of assigning participants to conditions with no rhyme or reason, to allow for generalization",Random assignment
"The brain's ""emotional control"" center",Amygdala
Applying a trait to someone based purely on their group,Groupthink
"A methodical, logical rule or procedure guaranteed to get the right answer",Algorithm
Drugs that reduce anxiety and central nervous system activity,depressants
A cognitive representation of the layout of one’s environment,mental map
"The enduring behaviors, ideas, attitudes, values, and traditions shared by a group of people.",culture
A term from ecological systems theory; a person's immediate environment ,microsystem
"In Erikson’s theory, the stage where we're focused on forming close, loving relationships",intimacy v isolation
A procedure for statistically combining the results of many different research studies.,Meta-analysis
An understood rule for accepted and expected behavior; prescribes “proper” behavior.,norm
Using a selection process where each member has an equal chance of inclusion.,random sample
Drugs that excite neural activity and speed up body functions,stimulants
The leading psychotherapy.  Identifies and modifies thoughts and behaviors,CBT
The concept of “leveling the playing field” and assuring that everyone’s experience is truly equal,Equity
A “guess” an experimenter makes before starting an experiment/study- guides research,Hypothesis
Space where ossicles (tiny bones) connect,Middle Ear
Someone’s belief that something will happen causes that thing to happen,Self-fulfilling prophecy
"The state of being ""Knocked out""",Unconsciousness
A photographic or picture-image memory lasting no more than a few tenths of a second.,Iconic memory
The most commonly used personality trait test,NEO-PI-R
A readiness to perceive oneself favorably,Self-serving bias
"A neuro-cognitive disease that occurs more commonly in elders, causes memory erosion.",dementia
